CELLID,U_RRC_SETUP_SUCCESS_RATIO_DEN_NONE,U_RRC_SETUP_SUCCESS_RATIO_NUM_NONE,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_DEN_NUMBER,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_NUM_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIOD_DEN_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIO_NUM_NUMBER,U_VS_HSDPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSDPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSDPA_64QAM_UE_MEAN_CELL_NONE,U_VS_HSDPA_UE_MAX_CELL_NONE,U_VS_HSDPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSUPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSUPA_16QAM_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MAX_CELL_NONE,U_VS_HSUPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MEAN_TTI2MS,U_TRAFICO_CS_ERLANG_ERL,U_CS_RAB_CONGESTION_RATIO_NUM_NONE,U_CS_RAB_CONGESTION_RATIO_DEN_NONE,U_RRC_CONGESTION_RATIONUM_NUMBER,U_RRC_CONGESTION_RATIODEN_NUMBER,U_PS_RAB_CONGESTION_RATIO_DEN_NONE,U_PS_RAB_CONGESTION_RATIO_NUM_NONE,U_VS_CELL_UNAVAILTIME_SYS_S,IA_CS_UMTS_OPT_RF_NUM,IA_CS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_NUM,G_CS_SERVICE_DROP_RATIO_DEN_NONE,G_CS_SERVICE_DROP_RATIO_NUM_NONE,G_PS_CALL_DROP_RATIO_DEN_NONE,G_PS_CALL_DROP_RATIO_NUM_NONE,PS_CALL_DROP_RATIO2_DEN_NONE,PS_CALL_DROP_RATIO2_NUM_NONE,NUMERO_DE_USUARIOS_PH_OPTRF_NONE,HSDPA_THROUGHPUT_DEN_NONE,HSDPA_THROUGHPUT_NUM_NONE
43079,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
43111,1078.0,1027.0,211.0,211.0,477.0,477.0,56.227,283312322.0,38.769,54.0,38.986,23.867,98763540.0,0.0,40.0,38.242,0.0,3.217,0.0,211.0,0.0,2544.0,477.0,0.0,0.0,0.0,33338.0,267597.0,2385.0,211.0,4.0,474.0,71.0,4207.0,66.0,104.916,8633349.0,2515559393.0
43112,1456.0,1360.0,242.0,241.0,679.0,679.0,52.39,317805410.0,45.236,63.0,45.361,24.31,109802180.0,0.0,40.0,38.897,0.0,3.217,0.0,242.0,0.0,2444.0,679.0,0.0,0.0,1160.0,47432.0,552027.0,12901.0,236.0,1.0,534.0,130.0,5160.0,118.0,121.05599999999998,9619808.0,2818395057.0
43113,611.0,589.0,86.0,86.0,341.0,341.0,138.342,585548131.0,33.122,44.0,33.647,24.767,107248820.0,0.0,40.0,35.419,0.0,1.983,0.0,86.0,0.0,964.0,341.0,0.0,0.0,0.0,4300.0,110825.0,1705.0,82.0,1.0,275.0,26.0,2945.0,24.0,80.864,4630079.0,5060289817.0
43114,575.0,509.0,115.0,108.0,424.0,421.0,75.541,352039110.0,34.453,47.0,34.656,24.114,83697900.0,0.0,39.0,28.414,0.0,3.717,7.0,115.0,103.0,1425.0,424.0,2.0,0.0,612.0,8280.0,137376.0,15707.0,102.0,1.0,399.0,54.0,3296.0,41.0,88.314,4342504.0,3039618563.0
43115,727.0,609.0,111.0,108.0,620.0,617.0,65.309,381287286.0,40.906,58.0,40.944,24.908,102442920.0,0.0,40.0,31.878,0.0,2.683,3.0,111.0,98.0,1223.0,620.0,1.0,0.0,828.0,6660.0,290780.0,44597.0,108.0,0.0,452.0,90.0,3751.0,82.0,101.928,4889069.0,3301203114.0
43116,309.0,296.0,65.0,60.0,217.0,215.0,119.704,495081373.0,28.6,38.0,28.975,24.637,78281960.0,0.0,33.0,23.581,0.0,1.4,5.0,65.0,10.0,422.0,217.0,2.0,0.0,295.0,2275.0,36673.0,983.0,65.0,0.0,225.0,29.0,2778.0,29.0,69.856,2124974.0,4069833936.0
43117,623.0,549.0,112.0,94.0,492.0,491.0,77.444,360877302.0,32.583,47.0,33.619,24.88,75099920.0,0.0,36.0,25.503,0.0,2.85,18.0,112.0,127.0,1541.0,492.0,0.0,0.0,1498.0,8736.0,164820.0,19484.0,94.0,0.0,448.0,82.0,3966.0,82.0,90.491,5026880.0,3005044729.0
43118,821.0,710.0,98.0,87.0,638.0,637.0,76.702,474650999.0,41.147,53.0,41.289,25.687,98383320.0,0.0,40.0,31.297,0.0,2.183,11.0,98.0,83.0,1214.0,638.0,0.0,0.0,802.0,6370.0,324742.0,31722.0,84.0,0.0,418.0,67.0,4240.0,67.0,103.81700000000001,7589054.0,4125757470.0
43119,425.0,397.0,88.0,79.0,282.0,281.0,102.446,412028768.0,28.014,37.0,28.753,26.396,77128980.0,0.0,32.0,22.322,0.0,1.733,9.0,88.0,17.0,598.0,282.0,0.0,0.0,457.0,3696.0,65142.0,4165.0,75.0,0.0,303.0,33.0,3922.0,31.0,75.765,2037744.0,3240930560.0
