Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427I, CellID=44279",Reliable,0,0,0,0,0,0,0,0,0,0,6158080,28160,86400,78400,80997120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504320,29972160,793280,294080,0,0,0,5090560,0,0,0,5886992,8733712,1.567,0,,,,,,,,,,,3.389,10.831,14.644,52.973,15.73,,,,,,,,,,,,,,,,3.616,8.306,19.832,23.083,,,,22.191,,,,1.623,2.247,12000.02,14817.805,0,0,31242.5,6072.813,287.188,76.563,0,77968.125,4971.25,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427H, CellID=44278",Reliable,0,0,0,0,0,0,0,0,0,0,1657280,0,0,0,11219200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444480,4308800,499520,0,0,0,0,0,0,0,0,1695288,2257112,0.3,0,,,,,,,,,,,4.695,,,,9.886,,,,,,,,,,,,,,,,3.676,7.138,20.439,,,,,,,,,1.756,2.173,2117.911,2948.976,0,0,4693.75,1569.375,0,0,0,9647.5,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427D, CellID=44274",Reliable,0,0,0,0,0,0,0,0,0,0,6441280,0,88000,831040,40591040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702400,11796480,2412160,0,0,0,0,0,0,0,0,4686552,8345992,2,0,,,,,,,,,,,6.699,,12.979,33.51,22.389,,,,,,,,,,,,,,,,3.544,8.244,17.847,,,,,,,,,1.654,2.305,16471.09,23950.71,0,0,16042.5,6198.125,0,804.375,0,38292.188,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427C, CellID=44273",Reliable,0,0,0,0,0,0,0,0,0,0,6464000,145280,235520,952960,74918400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2588800,35689760,4091840,0,0,0,0,0,0,0,0,6178024,10055176,2.017,0,,,,,,,,,,,5.429,7.687,11.534,18.833,20.951,,,,,,,,,,,,,,,,3.546,9.018,19.475,,,,,,,,,1.595,2.334,19344.289,21902.998,0,0,39881.406,6636.25,0,930.625,0,71899.063,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427B, CellID=44272",Reliable,0,0,0,0,0,0,0,0,0,0,1489920,0,0,50560,6221440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760320,3216960,545280,0,0,0,0,0,0,0,0,1604880,2089904,0.167,0,,,,,,,,,,,5.225,,,28.089,12.08,,,,,,,,,,,,,,,,3.728,8.241,20.339,,,,,,,,,1.831,2.205,615.2,2432.715,0,0,3604.375,1416.563,0,49.375,0,5387.5,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427A, CellID=44271",Reliable,0,0,0,0,0,0,0,0,0,0,7578240,0,46720,1180480,48936320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2861760,42642240,3384000,0,0,0,0,0,0,0,0,4986032,8837808,1.4,0,,,,,,,,,,,6.606,,13.741,25.496,19.302,,,,,,,,,,,,,,,,3.589,9.915,18.836,,,,,,,,,1.621,2.337,11174.204,17302.865,0,0,46199.063,7300,0,1152.813,0,46874.063,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427G, CellID=44277",Reliable,0,0,0,0,0,0,0,0,0,0,5945920,0,0,383040,69377920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919040,15553280,2522240,0,0,0,0,0,0,0,0,5088488,8593072,1.333,0,,,,,,,,,,,5.399,,,20.097,22.617,,,,,,,,,,,,,,,,3.56,7.56,18.682,,,,,,,,,1.654,2.318,10863.896,12518.288,0,0,19266.563,5775.938,0,374.063,0,66386.875,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427F, CellID=44276",Reliable,0,0,0,0,0,0,0,0,0,0,7176000,47040,51200,289280,86104960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255680,29458080,1272640,0,0,0,0,0,0,0,0,5935632,8912992,2.35,0,,,,,,,,,,,5.109,9.046,18.286,22.39,20.872,,,,,,,,,,,,,,,,3.657,8.287,18.879,,,,,,,,,1.631,2.272,23308.72,28137.849,0,0,31759.219,7024.063,0,282.5,0,82060.313,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,0,0,0,0,0,0,0,0,0,0,1526080,0,0,304640,4709440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716160,1595200,513600,0,0,0,0,0,0,0,0,1774480,2196768,0.05,0,,,,,,,,,,,7.029,,,40.619,9.924,,,,,,,,,,,,,,,,3.653,7.761,18.455,,,,,,,,,1.847,2.052,314.604,322.502,0,0,2436.875,1479.063,0,297.5,0,3396.875,0,0,,,0,0
2023-02-08 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,0,0,0,0,0,0,0,0,0,0,273280,0,0,0,7040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211520,4800,0,0,0,0,0,0,0,0,0,336464,447728,0,0,,,,,,,,,,,10.971,,,,11.733,,,,,,,,,,,,,,,,4.39,8,,,,,,,,,,1.86,2.31,0,0,0,0,170,216.875,0,0,0,0,0,0,,,0,0
