CELLID,DIA,HORA
30563,07/02/2023,14:30
30564,07/02/2023,14:30
30565,07/02/2023,14:30
30566,07/02/2023,14:30
30567,07/02/2023,14:30
30568,07/02/2023,14:30
30569,07/02/2023,14:30
30581,07/02/2023,14:30
30582,07/02/2023,14:30
30583,07/02/2023,14:30
30584,07/02/2023,14:30
30585,07/02/2023,14:30
30586,07/02/2023,14:30
30587,07/02/2023,14:30
30588,07/02/2023,14:30
30589,07/02/2023,14:30
30591,07/02/2023,14:30
30592,07/02/2023,14:30
30593,07/02/2023,14:30
30594,07/02/2023,14:30
30595,07/02/2023,14:30
30596,07/02/2023,14:30
30597,07/02/2023,14:30
30598,07/02/2023,14:30
30599,07/02/2023,14:30
30601,07/02/2023,14:30
30602,07/02/2023,14:30
30603,07/02/2023,14:30
30604,07/02/2023,14:30
30605,07/02/2023,14:30
30606,07/02/2023,14:30
30607,07/02/2023,14:30
30608,07/02/2023,14:30
30609,07/02/2023,14:30
30611,07/02/2023,14:30
30612,07/02/2023,14:30
30614,07/02/2023,14:30
30615,07/02/2023,14:30
30617,07/02/2023,14:30
30618,07/02/2023,14:30
30631,07/02/2023,14:30
30632,07/02/2023,14:30
30633,07/02/2023,14:30
30634,07/02/2023,14:30
30635,07/02/2023,14:30
30636,07/02/2023,14:30
30637,07/02/2023,14:30
30638,07/02/2023,14:30
30639,07/02/2023,14:30
30641,07/02/2023,14:30
30642,07/02/2023,14:30
30643,07/02/2023,14:30
30644,07/02/2023,14:30
30645,07/02/2023,14:30
30646,07/02/2023,14:30
30647,07/02/2023,14:30
30648,07/02/2023,14:30
30649,07/02/2023,14:30
30661,07/02/2023,14:30
30662,07/02/2023,14:30
30663,07/02/2023,14:30
30664,07/02/2023,14:30
30665,07/02/2023,14:30
30666,07/02/2023,14:30
30667,07/02/2023,14:30
30668,07/02/2023,14:30
30669,07/02/2023,14:30
30681,07/02/2023,14:30
30682,07/02/2023,14:30
30683,07/02/2023,14:30
30684,07/02/2023,14:30
30685,07/02/2023,14:30
30686,07/02/2023,14:30
30687,07/02/2023,14:30
30688,07/02/2023,14:30
30689,07/02/2023,14:30
30701,07/02/2023,14:30
30702,07/02/2023,14:30
30703,07/02/2023,14:30
30704,07/02/2023,14:30
30705,07/02/2023,14:30
30706,07/02/2023,14:30
30707,07/02/2023,14:30
30708,07/02/2023,14:30
30709,07/02/2023,14:30
30721,07/02/2023,14:30
30722,07/02/2023,14:30
30724,07/02/2023,14:30
30725,07/02/2023,14:30
30727,07/02/2023,14:30
30728,07/02/2023,14:30
30751,07/02/2023,14:30
30754,07/02/2023,14:30
30831,07/02/2023,14:30
30832,07/02/2023,14:30
30833,07/02/2023,14:30
30834,07/02/2023,14:30
30835,07/02/2023,14:30
30836,07/02/2023,14:30
30837,07/02/2023,14:30
30838,07/02/2023,14:30
30839,07/02/2023,14:30
