CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
30194,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30195,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30196,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30197,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30198,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30199,3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
30201,3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
30202,3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
30204,3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
30205,3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
30207,3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
30208,3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
30221,3022,,,BTO,,,,,
30222,3022,,,BTO,,,,,
30223,3022,,,BTO,,,,,
30224,3022,,,BTO,,,,,
30225,3022,,,BTO,,,,,
30226,3022,,,BTO,,,,,
30231,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30232,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30233,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30234,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30235,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30236,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30237,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30238,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30239,3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
30271,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30272,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30273,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30274,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30275,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30276,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30277,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30278,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30279,3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
30281,3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
30282,3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
30284,3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
30285,3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
30287,3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
30288,3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
30291,3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
30292,3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
30294,3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
30295,3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
30297,3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
30298,3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
30311,3031,1081,San Felipe Centro,BTO,Yaracuy,Central,Centro Occidente,10.339686,-68.736997
30312,3031,1081,San Felipe Centro,BTO,Yaracuy,Central,Centro Occidente,10.339686,-68.736997
