CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
31109,3110,4078,La Arboleda,PLM,Nueva Esparta,Oriente,Oriente,10.971033,-63.833989
31111,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31112,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31113,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31114,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31115,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31116,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31117,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31118,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31119,3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
31131,3113,,,BTO,,,,,
31132,3113,,,BTO,,,,,
31133,3113,,,BTO,,,,,
31134,3113,,,BTO,,,,,
31135,3113,,,BTO,,,,,
31136,3113,,,BTO,,,,,
31171,3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
31172,3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
31173,3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
31174,3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
31175,3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
31176,3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
31191,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31192,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31193,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31194,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31195,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31196,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
