Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3668E, CellID=36685",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3668D, CellID=36684",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3864F, CellID=38646",Reliable,0,0,0,0,0,0,0,0,0,0,2784000,0,0,3419840,21509440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450880,7656640,0,485120,0,0,0,28480,0,0,0,3781096,5719168,0.683,0,,,,,,,,,,,4.964,,,11.249,12.131,,,,,,,,,,,,,,,,4.169,10.583,,43.314,,,,40.686,,,,1.806,2.539,3683.116,9263.351,0,0,6408.125,2535.938,118.75,2643.75,0,16488.75,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3864E, CellID=38645",Reliable,0,0,0,0,0,0,0,0,0,0,1431040,0,0,1027840,18012480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751040,3493120,0,0,0,0,0,0,0,0,0,1314280,2213952,0.183,0,,,,,,,,,,,6.256,,,19.623,24.935,,,,,,,,,,,,,,,,4.557,11.29,,,,,,,,,,1.682,2.453,1740.889,2289.652,0,0,2961.875,1322.188,0,1003.75,0,13239.063,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3864D, CellID=38644",Reliable,0,0,0,0,0,0,0,0,0,0,375360,0,0,68480,8095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177600,756480,0,0,0,0,0,0,0,0,0,813424,1574632,0.017,0,,,,,,,,,,,7.331,,,3.4,28.112,,,,,,,,,,,,,,,,3.881,9.439,,,,,,,,,,1.738,2.535,53.107,61.914,0,0,737.188,295,0,48.438,0,6764.063,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3453F, CellID=34536",Reliable,0,0,0,0,0,0,0,0,0,0,10860800,0,443840,87680,30371520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7361920,35581440,0,11246080,0,0,0,8169600,0,0,0,6964560,10756384,1.917,0,,,,,,,,,,,4.312,,23.991,2.018,20.516,,,,,,,,,,,,,,,,5.184,12.073,,43.036,,,,85.322,,,,1.674,2.246,20671.229,20112.021,0,0,38076.875,10502.813,10140.313,0,0,22850.625,6885.938,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3453E, CellID=34535",Reliable,0,0,0,0,0,0,0,0,0,0,6917120,0,0,567040,8835840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625280,6398080,0,1496320,0,0,0,2682880,0,0,0,4209312,6196800,0.6,0,,,,,,,,,,,4.948,,,21.495,12.432,,,,,,,,,,,,,,,,4.35,11.698,,45.124,,,,146.206,,,,1.709,2.261,5515.88,8310.028,0,0,8730.938,6452.188,551.875,305.625,0,5474.688,1077.813,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3453D, CellID=34534",Reliable,0,0,0,0,0,0,0,0,0,0,4363520,0,48000,149120,35859840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512640,14346240,0,1514880,0,0,0,493120,0,0,0,5982800,8006216,0.867,0,,,,,,,,,,,3.045,,16.901,1.758,14.877,,,,,,,,,,,,,,,,4.504,11.47,,38.933,,,,81.914,,,,1.677,2.136,3095.014,3845.694,0,0,12388.125,3422.813,552.813,73.438,0,26971.563,267.188,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3858F, CellID=38586",Reliable,0,0,0,0,0,0,0,0,0,0,4581760,130240,0,3162880,46974720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3364800,16835520,0,225600,0,0,0,191680,0,0,0,7757368,12625432,3.2,0,,,,,,,,,,,2.073,6.686,,5.325,15.143,,,,,,,,,,,,,,,,4.483,10.928,,22.315,,,,36.166,,,,1.72,2.588,24202.966,35978.715,0,0,16532.5,4385.625,220.313,2195.313,0,36177.813,187.188,0,,,0,0
2023-02-10 13:00,30,"RNCH-MC4-FAJ/BSC6900UCell:Label=CS3858E, CellID=38585",Reliable,0,0,0,0,0,0,0,0,0,0,5753280,0,0,560000,21029440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4655040,6368320,0,0,0,0,0,0,0,0,0,5150664,9109456,1.15,0,,,,,,,,,,,2.964,,,4.16,13.9,,,,,,,,,,,,,,,,4.51,10.224,,,,,,,,,,1.775,2.571,11809.099,16562.104,0,0,8644.375,5470.938,0,490.313,0,14390.625,0,0,,,0,0
