Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,0,0,0,0,0,0,0,0,0,0,976640,0,0,62080,3522560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365120,1125440,1691840,0,0,0,0,0,0,0,0,1863496,2212968,0.117,0,,,,,,,,,,,4.391,,,35.273,8.733,,,,,,,,,,,,,,,,3.571,7.591,20.751,,,,,,,,,1.963,2.05,1037.975,1033.24,0,0,2710.313,893.125,0,60.625,0,1935.313,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,0,0,0,0,0,0,0,0,0,0,61760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104640,0,0,0,0,0,0,0,0,0,0,105256,103936,0,0,,,,,,,,,,,3.589,,,,,,,,,,,,,,,,,,,,4.72,,,,,,,,,,,2.035,2.075,15.43,63.201,0,0,95.625,39.688,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033F, CellID=40336",Reliable,0,0,0,0,0,0,0,0,0,0,1235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765760,0,62400,0,0,0,0,586560,0,0,0,1079592,1901344,0.867,0,,,,,,,,,,,10.323,,,,,,,,,,,,,,,,,,,,4.701,,18.353,,,,,81.467,,,,1.97,2.514,10035.148,8930.373,0,0,808.75,1206.25,0,0,0,0,572.813,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033E, CellID=40335",Reliable,0,0,0,0,0,0,0,0,0,0,1473280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941120,0,43520,0,0,0,0,436480,0,0,0,798368,1633544,0.683,0,,,,,,,,,,,8.525,,,,,,,,,,,,,,,,,,,,4.81,,25.6,,,,,79.36,,,,1.793,2.629,5518.724,7754.065,0,0,961.563,1438.75,0,0,0,0,426.25,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033D, CellID=40334",Reliable,0,0,0,0,0,0,0,0,0,0,3023040,0,0,576000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368320,16002560,36391680,53503680,0,0,0,109792320,0,0,0,1958704,4878784,2.283,0,,,,,,,,,,,9.028,,,36.09,,,,,,,,,,,,,,,,,4.596,11.864,20.877,35.295,,,,63.815,,,,1.652,2.516,21643.05,32723.479,0,0,53479.063,2952.188,52249.688,562.5,0,0,107219.063,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033C, CellID=40333",Reliable,0,0,0,0,0,0,0,0,0,0,1431360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857600,11520,0,0,0,0,0,0,0,0,0,985880,1703224,1.2,0,,,,,,,,,,,10.536,,,,,,,,,,,,,,,,,,,,4.666,9.6,,,,,,,,,,1.904,2.5,21241.761,17373.331,0,0,848.75,1397.813,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033B, CellID=40332",Reliable,0,0,0,0,0,0,0,0,0,0,986560,0,0,277760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540160,0,0,0,0,0,0,0,0,0,0,912264,1280584,1.117,0,,,,,,,,,,,8.376,,,50.319,,,,,,,,,,,,,,,,,4.747,,,,,,,,,,,2.117,2.538,13656.239,16646.156,0,0,527.5,963.438,0,271.25,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033A, CellID=40331",Reliable,0,0,0,0,0,0,0,0,0,0,2546240,0,0,335680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970880,6734080,19682240,19401600,0,0,0,33791040,0,0,0,1722560,4388720,1.633,0,,,,,,,,,,,9.903,,,25.126,,,,,,,,,,,,,,,,,4.753,11.538,20.467,30.707,,,,83.219,,,,1.675,2.539,15706.031,20391.604,0,0,28698.438,2486.563,18946.875,327.813,0,0,32999.063,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511I, CellID=35119",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511H, CellID=35118",Reliable,0,0,0,0,0,0,0,0,0,0,473280,0,6400,27953600,86102720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394560,22624000,170880,0,0,0,0,0,0,0,0,3866856,2663000,1.05,0,,,,,,,,,,,8.566,,3.556,35.366,52.952,,,,,,,,,,,,,,,,4.496,9.236,24.622,,,,,,,,,1.772,2.157,10858.635,13609.536,0,0,21929.688,448.75,0,23228.75,0,82730.938,0,0,,,0,0
