Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,0,0,0,0,0,0,0,0,0,0,1170560,0,0,0,21210560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336640,5192320,168320,0,0,0,0,0,0,0,0,1066568,1644376,0.933,0,,,,,,,,,,,3.936,,,,21.955,,,,,,,,,,,,,,,,3.755,7.96,14.277,,,,,,,,,1.61,2.181,7594.356,14667.725,0,0,5205.938,1118.125,0,0,0,19694.063,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,0,0,0,0,0,0,0,0,0,0,50240,0,0,0,201920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44800,44480,18240,0,0,0,0,0,0,0,0,118336,193496,0.067,0,,,,,,,,,,,8.196,,,,75.343,,,,,,,,,,,,,,,,4.436,14.442,11.122,,,,,,,,,1.671,2.177,519.284,980.353,0,0,60.313,40.313,0,0,0,0,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033F, CellID=40336",Reliable,0,0,0,0,0,0,0,0,0,0,567360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352960,0,0,0,0,0,0,0,0,0,0,631720,1491768,1.133,0,,,,,,,,,,,10.088,,,,,,,,,,,,,,,,,,,,4.703,,,,,,,,,,,1.722,2.574,11819.936,14541.675,0,0,344.688,554.063,0,0,0,0,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033E, CellID=40335",Reliable,0,0,0,0,0,0,0,0,0,0,593600,0,0,294400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406080,0,10240,0,0,0,0,0,0,0,0,1020952,1695264,0.3,0,,,,,,,,,,,8.805,,,50.239,,,,,,,,,,,,,,,,,4.544,,12.8,,,,,,,,,2.052,2.473,1824.51,3626.069,0,0,406.563,579.688,0,287.5,0,0,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033D, CellID=40334",Reliable,0,0,0,0,0,0,0,0,0,0,1781760,0,0,283840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557120,5728640,17134400,20804800,0,0,0,27313920,0,0,0,1503288,4361680,1.433,0,,,,,,,,,,,8.684,,,34.034,,,,,,,,,,,,,,,,,4.745,11.238,20.955,31.774,,,,62.986,,,,1.655,2.538,19694.322,14111.2,0,0,23847.813,1740,20317.188,277.188,0,0,26673.75,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033C, CellID=40333",Reliable,0,0,0,0,0,0,0,0,0,0,1325120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038720,4480,63680,0,0,0,0,267520,0,0,0,1000712,2113776,1.733,0,,,,,,,,,,,9.666,,,,,,,,,,,,,,,,,,,,4.912,7.467,26.533,,,,,201.143,,,,1.809,2.522,15327.669,21405.223,0,0,1080.938,1294.063,0,0,0,0,261.25,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033B, CellID=40332",Reliable,0,0,0,0,0,0,0,0,0,0,456000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472960,76800,33280,0,0,0,0,0,0,0,0,732696,1033704,1.183,0,,,,,,,,,,,10.639,,,,,,,,,,,,,,,,,,,,5.153,7.805,21.333,,,,,,,,,2.107,2.654,13122.95,11824.772,0,0,569.375,445.313,0,0,0,0,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033A, CellID=40331",Reliable,0,0,0,0,0,0,0,0,0,0,2576320,0,0,107200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815680,8291520,25679360,30220480,0,0,0,65482560,0,0,0,1946880,5128560,1.783,0,,,,,,,,,,,8.301,,,23.822,,,,,,,,,,,,,,,,,4.657,11.968,21.28,30.667,,,,74.115,,,,1.695,2.561,20722.329,21868.08,0,0,34947.813,2515.938,29512.188,104.688,0,0,63947.813,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511I, CellID=35119",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511H, CellID=35118",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
