Result Time,Granularity Period,Object Name,Reliability,HSDPA_THROUGHPUT
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=0, Cell Name=N/A",Reliable,90.8982030354154
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=1, Cell Name=N/A",Reliable,713.0342664012489
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=2, Cell Name=N/A",Reliable,1364.8148038384447
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=3, Cell Name=N/A",Reliable,91.16881856965792
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=4, Cell Name=N/A",Reliable,789.3566911656183
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=5, Cell Name=N/A",Reliable,1674.111488580531
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=6, Cell Name=N/A",Reliable,105.01061930789672
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=7, Cell Name=N/A",Reliable,777.2746370390906
2023-03-20 08:00,30,"U_3093_PUERTO_AYACUCHO/ULoCell:NodeB Function Name=U_3093_PUERTO_AYACUCHO, Local Cell ID=8, Cell Name=N/A",Reliable,1497.9568426340134
2023-03-20 08:00,30,"U_3242_SAN_MIGUEL_DE_CUNAVICHE/ULoCell:NodeB Function Name=U_3242_SAN_MIGUEL_DE_CUNAVICHE, Local Cell ID=0, Cell Name=N/A",Reliable,185.20725696518872
2023-03-20 08:00,30,"U_3242_SAN_MIGUEL_DE_CUNAVICHE/ULoCell:NodeB Function Name=U_3242_SAN_MIGUEL_DE_CUNAVICHE, Local Cell ID=1, Cell Name=N/A",Reliable,1593.1369390908146
2023-03-20 08:00,30,"U_3242_SAN_MIGUEL_DE_CUNAVICHE/ULoCell:NodeB Function Name=U_3242_SAN_MIGUEL_DE_CUNAVICHE, Local Cell ID=2, Cell Name=N/A",Reliable,353.7143529416571
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=0, Cell Name=N/A",Reliable,755.5670120464707
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=1, Cell Name=N/A",Reliable,905.3132144556758
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=2, Cell Name=N/A",Reliable,776.3369915566818
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=3, Cell Name=N/A",Reliable,721.3254829342502
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=4, Cell Name=N/A",Reliable,1093.1289284712373
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=5, Cell Name=N/A",Reliable,697.5632309159893
